scenario_id,verdict (PASS/CONDITIONAL/FAIL/INDETERMINATE),failing_blocking_checks (if FAIL),caveat_checks (if CONDITIONAL),driver (if INDETERMINATE),underdetermined (which check + missing facts),rule_vs_instinct_divergence,notes
S01,FAIL,same-channel-self-service-cancellation,,,,,"Gating web signup cancellation on phone line violates Check 1 same-channel self-service requirement."
S02,PASS,,,,,,"All applicable checks pass; trial conversion notice is sent with amount and date, and auto-renewal is clearly disclosed at signup."
S03,PASS,,,,,,"Annual plan renewal reminder is sent and cancellation is effective at period end with no post-cancel charge."
S04,PASS,,,,,,"Affirmative consent and clear disclosure of monthly cadence adjacent to pay control at signup."
S05,CONDITIONAL,,cancellation-honored-without-trap,,,,"Check 4 is unobserved because the observation window did not span the renewal boundary."
S06,CONDITIONAL,,auto-renewal-disclosure-and-consent,,,,"Disclosed on payment screen but not adjacent to pay control constitutes weak placement under Check 5."
S07,FAIL,"cancellation-step-parity,no-cancellation-flow-obstruction",,,,,"Step parity is violated and the multi-page flow contains at least three retention pages with de-emphasized cancel controls."
S08,FAIL,"cancellation-step-parity,no-cancellation-flow-obstruction",,,,,"Step parity is violated by a mandatory survey, and Check 3 is failed due to non-dismissible offers and a mandatory free-text reason."
S19,FAIL,trial-to-paid-conversion-notice,,,,,,"Trial converts silently with no advance notice, failing Check 6."
S20,PASS,,,,,,"Cancel steps are fewer than signup steps in the same medium with no added gate, passing Check 2."
S21,FAIL,"same-channel-self-service-cancellation,no-cancellation-flow-obstruction",,,,,"No full-cancellation path exists (pause/downgrade only) which fails Check 1. Non-dismissible terminal wall interstitial fails Check 3."
S22,PASS,,,,,,"Direct cancellation with no retention offers or surveys passes all requirements."
S23,FAIL,no-cancellation-flow-obstruction,,,,,,"Fabricated countdown timer is deceptive-pressure content, failing Check 3."
S24,FAIL,"cancellation-step-parity,no-cancellation-flow-obstruction",,,,,"Required cancel steps exceed signup steps + 1, and the control is buried and never referenced from account or billing, failing Checks 2 and 3."
S25,FAIL,cancellation-honored-without-trap,,,,,,"Deferred effective date to annual boundary on a monthly plan fails Check 4."
S26,CONDITIONAL,,no-cancellation-flow-obstruction,,,,,"One single-action-dismissible offer per attempt is conditional. Recurrence on separate attempts remains conditional."
S27,PASS,,,,,,"Cancellation is effective immediately with a clear refund, and no post-cancel charges were observed."
S28,FAIL,no-cancellation-flow-obstruction,,,,,,"Small, low-contrast cancel link versus a big keep button is visual misdirection/concealment, failing Check 3."
S29,PASS,,,,,,"An automated email confirmation link that arrives instantly and never expires is permitted under Check 1."
S30,FAIL,auto-renewal-disclosure-and-consent,,,,,,"Pre-checked consent box and lack of cadence in primary flow fail Check 5."
S31,FAIL,no-cancellation-flow-obstruction,,,,,,"Four serial retention interstitials exceed the maximum threshold of two, failing Check 3."
S32,PASS,,,,,,"All applicable checks pass; signup and cancel steps are balanced, and disclosure with affirmative consent is prominent."
S33,FAIL,no-cancellation-flow-obstruction,,,,,,"Artificial processing holds constitute manufactured latency, failing Check 3."
S34,FAIL,no-cancellation-flow-obstruction,,,,,,"Rendering the cancel control in background color and below the fold is visual concealment/burial, failing Check 3."
S35,FAIL,no-cancellation-flow-obstruction,,,,,,"Quickly expiring and unreliable email confirmation link is an obstruction pattern, failing Check 3."
S36,CONDITIONAL,,no-cancellation-flow-obstruction,,,,,"A single dismissible retention offer is conditional for Check 3."
S37,FAIL,no-cancellation-flow-obstruction,,,,,,"Serving real users a retention maze of non-dismissible interstitials while serving automation a clean flow is a deceptive obstruction, failing Check 3."
S38,PASS,,,,,,"Multi-medium self-service cancel with step parity passes all requirements."
S39,FAIL,"cancellation-step-parity,no-cancellation-flow-obstruction",,,,,"Required steps exceed signup steps + 1, and the flow contains a gauntlet of three or more retention pages, failing Checks 2 and 3."
S40,PASS,,,,,,"Mobile in-app subscription cancels via same app or store manager, passing Check 1."
S41,CONDITIONAL,,cancellation-step-parity,,,,,"Cancellation taking exactly one more required step than signup is conditional (on the tolerance edge)."
S42,FAIL,no-cancellation-flow-obstruction,,,,,,"Serving human users a non-dismissible retention gauntlet while serving fast scripted bots a clean flow fails Check 3."
ATTESTATION: "I adjudicated these scenarios independently, from the rule excerpt and scenario text alone, without consulting the repository, the other adjudicator(s), or the authors."
