scenario_id,verdict (PASS/CONDITIONAL/FAIL/INDETERMINATE),failing_blocking_checks (if FAIL),caveat_checks (if CONDITIONAL),driver (if INDETERMINATE),underdetermined (which check + missing facts),rule_vs_instinct_divergence,notes
S55,PASS,,,,,,"Cancel-first prerequisite is one-click self-service, then deletion is reachable."
S56,PASS,,,,,,Reliable non-expiring automated confirmation link is allowed.
S57,CONDITIONAL,,no-exit-flow-obstruction,,,,One single-action-dismissible retention offer in deletion flow.
S58,PASS,,,,,,Workspace admin export is self-service on the current plan and matches inventory.
S59,FAIL,deletion-honored,,,,,"Flow presents deletion, but terms describe indefinite deactivation/retention for reactivation."
S60,FAIL,standard-export-format,,,,,Standard JSON wrapper contains opaque proprietary blobs.
S61,FAIL,no-exit-flow-obstruction,,,,,Mandatory plan-downgrade wizard buries the actual delete control.
S62,FAIL,self-service-export,,,,,Account holds data but no export path exists.
S63,CONDITIONAL,,self-service-deletion,,,,Deletion completion is deferred beyond the 30-day recovery window but not beyond 90 days.
S64,FAIL,standard-export-format,,,,,Primary content type is only available as an undocumented proprietary binary.

"ATTESTATION: I adjudicated these scenarios independently, from the rule excerpt and scenario text alone, without consulting the repository, the other adjudicator(s), or the authors. -- GPT-5 / 2026-07-06"
